alias,date,submitted_iou,calculated_iou
dolphin123,2021-01-05 15:01:23.563795,0.44003,0.4400280824280851
prvi_pokušaj,2021-01-13 14:29:59.372504,0.44925,0.449246016488896
dolphin123,2021-01-09 12:00:15.363378,0.43686,0.4368642819430551
dolphin123,2021-01-13 14:27:38.005281,0.44925,
stokic,2021-02-21 18:51:53.232539,0.43552,
firstML,2021-02-28 09:54:54.020979,0.42529,
firstML,2021-02-28 09:55:59.155951,0.42529,
rangoiv_0.0,2021-03-11 21:18:19.755089,0.41769,
testy,2021-03-12 15:06:14.210987,0.39001,
tekashi,2021-03-27 12:07:10.438811,0.48554,
dolphinSantiago,2021-03-28 21:13:52.740719,0.48156,
dupincek,2021-03-29 17:04:06.266327,0.44912,
Dupin,2021-03-31 00:17:36.538368,0.42687,
Dupin,2021-03-31 13:34:11.751663,0.45008,
Dupin,2021-03-31 14:35:22.171495,0.46228,
tekashi,2021-03-31 15:40:50.909294,0.4692,
Dupin,2021-03-31 16:21:11.073692,0.44991,
tekashi,2021-03-31 16:40:37.163291,0.46089,
Dupin,2021-03-31 17:54:29.801730,0.44622,
tekashi,2021-03-31 18:22:29.101320,0.46726,
tekashi,2021-03-31 18:49:18.357457,0.49177,
tekashi,2021-03-31 19:20:21.678723,0.4934,
tekashi,2021-03-31 19:40:13.091625,0.49922,
tekashi,2021-03-31 19:59:45.495632,0.48937,
tekashi,2021-03-31 20:16:52.924987,0.50227,
Boto,2021-03-31 22:30:51.956628,0.44334,
Boto,2021-03-31 22:54:40.595595,0.44678,
tekashi,2021-04-01 11:04:15.726242,0.48125,
tekashi,2021-04-01 11:28:48.148635,0.488,
tekashi,2021-04-01 12:10:55.448785,0.49644,
tekashi,2021-04-01 13:07:48.940732,0.49266,
tekashi,2021-04-01 14:04:48.589564,0.48855,
tekashi,2021-04-01 15:01:41.477143,0.49931,
Orka,2021-04-01 15:06:41.495325,0.44109,
tekashi,2021-04-01 15:26:55.480008,0.49016,
tekashi,2021-04-01 15:52:06.237026,0.49192,
tekashi,2021-04-01 15:58:52.196918,0.4991100000000001,
Orka,2021-04-01 16:05:26.977252,0.44758,
tekashi,2021-04-01 16:16:48.012391,0.49542,
Orka,2021-04-01 16:30:39.496708,0.45201,
tekashi,2021-04-01 16:57:58.374209,0.50548,
tekashi,2021-04-01 17:57:52.548423,0.49795,
tekashi,2021-04-01 19:15:19.023312,0.49154,
tekashi,2021-04-01 19:39:29.095649,0.49194,
Orka,2021-04-01 22:08:40.180417,0.4411600000000001,
Orka,2021-04-02 01:15:54.079218,0.43948,
Orka,2021-04-02 16:21:59.548029,0.47683000000000003,
tekashi,2021-04-02 17:24:27.068063,0.49121000000000004,
tekashi,2021-04-02 17:51:50.503276,0.4981,
tekashi,2021-04-02 18:25:16.310611,0.49463999999999997,
tekashi,2021-04-02 21:19:27.821774,0.49021000000000003,
tekashi,2021-04-07 15:54:44.500487,0.50156,
tekashi,2021-04-08 13:29:55.225069,0.49078,
tekashi,2021-04-08 15:29:40.628365,0.4976,
tekashi,2021-04-08 16:33:59.818491,0.49043000000000003,
tekashi,2021-04-08 19:47:49.222011,0.49965,
tekashi,2021-04-08 22:25:37.965915,0.48686,
tekashi,2021-04-08 22:52:30.392290,0.4930100000000001,
tekashi,2021-04-08 23:17:52.200022,0.48823,
tekashi,2021-04-08 23:43:25.680146,0.50625,
tekashi,2021-04-09 00:08:46.537238,0.49612,
tekashi,2021-04-09 00:34:37.672707,0.48595,
tekashi,2021-04-10 13:58:50.855818,0.4915600000000001,
tekashi,2021-04-10 14:49:17.515990,0.50269,
tekashi,2021-04-10 15:16:37.928715,0.49713,
tekashi,2021-04-10 15:42:21.904346,0.50035,
tekashi,2021-04-10 16:08:17.917942,0.49105,
tekashi,2021-04-10 16:34:08.413497,0.49702,
tekashi,2021-04-10 16:59:44.747429,0.49852,
tekashi,2021-04-10 17:25:25.070860,0.49992,
tekashi,2021-04-11 21:40:41.667352,0.4927,
tekashi,2021-04-11 22:35:50.476177,0.48526,
tekashi,2021-04-15 18:43:52.761958,0.50158,
tekashi,2021-04-15 19:50:42.676767,0.4917,
tekashi,2021-04-15 20:15:34.477416,0.49191,
tekashi,2021-04-15 20:40:46.415186,0.4907,
tekashi,2021-04-16 11:55:28.934231,0.50298,
tekashi,2021-04-16 12:19:34.306772,0.48472,
tekashi,2021-04-16 12:51:01.534622,0.48889,
tekashi,2021-04-16 14:09:10.298425,0.49287,
tekashi,2021-04-16 14:33:55.678166,0.49878,
tekashi,2021-04-19 13:31:48.969477,0.49773,
tekashi,2021-04-19 14:08:15.473097,0.49623,
tekashi,2021-04-19 14:37:39.983910,0.51037,
tekashi,2021-04-19 15:03:11.966772,0.51546,
tekashi,2021-04-20 15:38:21.826060,0.49132,
tekashi,2021-04-20 16:32:55.400389,0.49385,
tekashi,2021-04-20 17:14:30.635349,0.49963,
tekashi,2021-04-20 18:07:11.087187,0.50647,
tekashi,2021-04-20 18:33:05.351845,0.49499,
tekashi,2021-04-20 19:02:09.744250,0.5019600000000001,
tekashi,2021-04-20 19:31:43.024354,0.50132,
tekashi,2021-04-22 11:17:10.649215,0.49163,
tekashi,2021-04-22 12:55:04.012067,0.50568,
tekashi,2021-04-22 13:57:05.651327,0.50869,
tekashi,2021-04-22 14:48:50.634662,0.49475,
tekashi,2021-04-22 15:51:05.155017,0.4970100000000001,
tekashi,2021-04-22 16:43:07.921596,0.5071100000000001,
tekashi,2021-04-22 17:32:33.525988,0.491,
alias,2021-05-01 18:26:52.200870,0.45259,
dolphin_rovinj,2021-05-01 20:06:35.372099,0.43487,
